AT5G52040.1 AT5G52040.1 | Symbols: ATRSP41, RS41, At-RS41 | RNA-binding (RRM/RBD/RNP motifs) family protein | chr5:21131081-21133318 FORWARD LENGTH=356
AT1G26550.1 AT1G26550.1 | Symbols: | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr1:9171800-9172716 FORWARD LENGTH=142
AT2G34160.1 AT2G34160.1 | Symbols: | Alba DNA/RNA-binding protein | chr2:14426283-14427220 FORWARD LENGTH=130
AT1G21500.1 AT1G21500.1 | Symbols: | unknown protein; Has 29 Blast hits to 29 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 2; Plants - 27; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:7530047-7530954 REVERSE LENGTH=126
AT3G27830.1 AT3G27830.1 | Symbols: RPL12-A, RPL12 | ribosomal protein L12-A | chr3:10318576-10319151 FORWARD LENGTH=191
AT5G57370.1 AT5G57370.1 | Symbols: | unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1777 (InterPro:IPR013957); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BL
AT2G04520.1 AT2G04520.1 | Symbols: | Nucleic acid-binding, OB-fold-like protein | chr2:1574802-1575239 REVERSE LENGTH=145
AT3G26420.1 AT3G26420.1 | Symbols: ATRZ-1A | RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain | chr3:9671953-9673055 FORWARD LENGTH=245
AT3G47070.1 AT3G47070.1 | Symbols: | LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast, chloroplast envelope; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thylakoid soluble phosphoprotein TSP9 (InterPro:IPR021584); Has 37 Blast hits to 37 proteins in 10
AT2G33410.1 AT2G33410.1 | Symbols: | RNA-binding (RRM/RBD/RNP motifs) family protein | chr2:14156085-14157435 FORWARD LENGTH=404
AT3G49430.1 AT3G49430.1 | Symbols: SRp34a, SR34a, At-SR34a | SER/ARG-rich protein 34A | chr3:18332668-18334829 FORWARD LENGTH=300
AT1G02840.1 AT1G02840.1 | Symbols: SR1, ATSRP34, SRP34, SR34, At-SR34 | RNA-binding (RRM/RBD/RNP motifs) family protein | chr1:626918-629583 FORWARD LENGTH=303
AT5G26710.1 AT5G26710.1 | Symbols: | Glutamyl/glutaminyl-tRNA synthetase, class Ic | chr5:9305673-9308247 FORWARD LENGTH=719
AT5G58470.1 AT5G58470.1 | Symbols: TAF15b | TBP-associated factor 15B | chr5:23638566-23640854 REVERSE LENGTH=422
AT3G03540.1 AT3G03540.1 | Symbols: NPC5 | non-specific phospholipase C5 | chr3:846350-848297 REVERSE LENGTH=521
AT5G38420.1 AT5G38420.1 | Symbols: | Ribulose bisphosphate carboxylase (small chain) family protein | chr5:15381203-15381978 REVERSE LENGTH=181
AT5G62690.1 AT5G62690.1 | Symbols: TUB2 | tubulin beta chain 2 | chr5:25181560-25183501 FORWARD LENGTH=450
AT1G71080.1 AT1G71080.1 | Symbols: | RNA polymerase II transcription elongation factor | chr1:26809987-26811645 REVERSE LENGTH=326
AT5G47210.1 AT5G47210.1 | Symbols: | Hyaluronan / mRNA binding family | chr5:19169222-19171012 REVERSE LENGTH=357
AT1G76010.1 AT1G76010.1 | Symbols: | Alba DNA/RNA-binding protein | chr1:28528505-28530488 REVERSE LENGTH=350
AT2G24590.1 AT2G24590.1 | Symbols: RSZ22a, At-RSZ22a | RNA recognition motif and CCHC-type zinc finger domains containing protein | chr2:10449837-10450860 FORWARD LENGTH=196
AT1G01620.1 AT1G01620.1 | Symbols: PIP1C, TMP-B, PIP1;3 | plasma membrane intrinsic protein 1C | chr1:225986-227176 REVERSE LENGTH=286
AT3G13570.1 AT3G13570.1 | Symbols: SCL30A, At-SCL30A | SC35-like splicing factor 30A | chr3:4429564-4431602 REVERSE LENGTH=262
AT1G23860.1 AT1G23860.1 | Symbols: SRZ-21, SRZ21, RSZP21, RSZ21, At-RSZ21 | RS-containing zinc finger protein 21 | chr1:8428091-8429164 REVERSE LENGTH=187
AT4G04640.1 AT4G04640.1 | Symbols: ATPC1 | ATPase, F1 complex, gamma subunit protein | chr4:2350761-2351882 REVERSE LENGTH=373
AT4G31580.1 AT4G31580.1 | Symbols: SRZ-22, SRZ22, RSZP22, RSZ22, At-RSZ22 | serine/arginine-rich 22 | chr4:15306983-15308064 FORWARD LENGTH=200
AT4G29270.1 AT4G29270.1 | Symbols: | HAD superfamily, subfamily IIIB acid phosphatase | chr4:14423797-14424848 REVERSE LENGTH=256
AT1G20010.1 AT1G20010.1 | Symbols: TUB5 | tubulin beta-5 chain | chr1:6938033-6940481 REVERSE LENGTH=449
AT3G46780.1 AT3G46780.1 | Symbols: PTAC16 | plastid transcriptionally active 16 | chr3:17228766-17231021 FORWARD LENGTH=510
AT2G37620.1 AT2G37620.1 | Symbols: ACT1, AAc1 | actin 1 | chr2:15779761-15781241 FORWARD LENGTH=377
AT2G05520.1 AT2G05520.1 | Symbols: GRP-3, ATGRP-3, GRP3, ATGRP3 | glycine-rich protein 3 | chr2:2026217-2026882 FORWARD LENGTH=145
AT5G11710.1 AT5G11710.1 | Symbols: | ENTH/VHS family protein | chr5:3772981-3776316 FORWARD LENGTH=560
AT2G05920.1 AT2G05920.1 | Symbols: | Subtilase family protein | chr2:2269831-2272207 REVERSE LENGTH=754
AT1G13440.1 AT1G13440.1 | Symbols: GAPC-2, GAPC2 | glyceraldehyde-3-phosphate dehydrogenase C2 | chr1:4608465-4610494 REVERSE LENGTH=338
AT2G13360.1 AT2G13360.1 | Symbols: AGT, AGT1, SGAT | alanine:glyoxylate aminotransferase | chr2:5539417-5540902 REVERSE LENGTH=401
AT1G64370.1 AT1G64370.1 | Symbols: | unknown protein; Has 773 Blast hits to 375 proteins in 118 species: Archae - 0; Bacteria - 97; Metazoa - 421; Fungi - 108; Plants - 31; Viruses - 0; Other Eukaryotes - 116 (source: NCBI BLink). | chr1:23888967-23889503 FORWARD LENGTH=178
AT5G43960.1 AT5G43960.1 | Symbols: | Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain | chr5:17689154-17691653 REVERSE LENGTH=450
AT3G52220.1 AT3G52220.1 | Symbols: | CONTAINS InterPro DOMAIN/s: Kinase phosphorylation domain (InterPro:IPR019315); Has 8882 Blast hits to 4920 proteins in 346 species: Archae - 10; Bacteria - 184; Metazoa - 3955; Fungi - 1221; Plants - 712; Viruses - 24; Other Eukaryotes - 2776 (source: NCBI BLink). | chr3:19369580-19370
AT1G67090.1 AT1G67090.1 | Symbols: RBCS1A | ribulose bisphosphate carboxylase small chain 1A | chr1:25048465-25049249 REVERSE LENGTH=180
AT3G23450.1 AT3G23450.1 | Symbols: | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 8 growth stages; Has 694543 Blast hits to 47111 proteins in 2535 species: Archae - 1794; Bacteria - 1
AT3G04840.1 AT3G04840.1 | Symbols: | Ribosomal protein S3Ae | chr3:1329751-1331418 FORWARD LENGTH=262
AT3G20550.1 AT3G20550.1 | Symbols: DDL | SMAD/FHA domain-containing protein | chr3:7174695-7177600 REVERSE LENGTH=314
AT3G57560.1 AT3G57560.1 | Symbols: NAGK | N-acetyl-l-glutamate kinase | chr3:21311164-21312207 REVERSE LENGTH=347
AT1G27650.1 AT1G27650.1 | Symbols: ATU2AF35A | U2 snRNP auxiliary factor small subunit, putative | chr1:9615152-9616042 FORWARD LENGTH=296
AT1G75560.1 AT1G75560.1 | Symbols: | zinc knuckle (CCHC-type) family protein | chr1:28371420-28372717 REVERSE LENGTH=257
AT1G76180.1 AT1G76180.1 | Symbols: ERD14 | Dehydrin family protein | chr1:28587013-28587657 REVERSE LENGTH=185
AT4G11175.1 AT4G11175.1 | Symbols: | Nucleic acid-binding, OB-fold-like protein | chr4:6818162-6818806 FORWARD LENGTH=141
AT5G54600.1 AT5G54600.1 | Symbols: | Translation protein SH3-like family protein | chr5:22183046-22184403 FORWARD LENGTH=198
AT1G55490.1 AT1G55490.1 | Symbols: CPN60B, LEN1 | chaperonin 60 beta | chr1:20715717-20718673 REVERSE LENGTH=600
AT2G16940.1 AT2G16940.1 | Symbols: | Splicing factor, CC1-like | chr2:7342869-7347052 REVERSE LENGTH=561
AT1G19880.1 AT1G19880.1 | Symbols: | Regulator of chromosome condensation (RCC1) family protein | chr1:6900648-6903818 REVERSE LENGTH=538
AT5G53440.1 AT5G53440.1 | Symbols: | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; F
AT4G36690.1 AT4G36690.1 | Symbols: ATU2AF65A | U2 snRNP auxilliary factor, large subunit, splicing factor | chr4:17294139-17297609 REVERSE LENGTH=573
AT1G27090.1 AT1G27090.1 | Symbols: | glycine-rich protein | chr1:9404041-9406098 REVERSE LENGTH=420
AT3G52930.1 AT3G52930.1 | Symbols: | Aldolase superfamily protein | chr3:19627383-19628874 REVERSE LENGTH=358
AT4G21620.1 AT4G21620.1 | Symbols: | glycine-rich protein | chr4:11491519-11491914 FORWARD LENGTH=131
AT5G22300.1 AT5G22300.1 | Symbols: NIT4, AtNIT4 | nitrilase 4 | chr5:7379401-7381764 FORWARD LENGTH=355
AT4G25630.1 AT4G25630.1 | Symbols: FIB2, ATFIB2 | fibrillarin 2 | chr4:13074239-13076205 FORWARD LENGTH=320
AT1G31330.1 AT1G31330.1 | Symbols: PSAF | photosystem I subunit F | chr1:11215011-11215939 REVERSE LENGTH=221
AT5G60980.1 AT5G60980.1 | Symbols: | Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain | chr5:24543988-24546027 FORWARD LENGTH=459
AT4G34670.1 AT4G34670.1 | Symbols: | Ribosomal protein S3Ae | chr4:16548724-16550222 FORWARD LENGTH=262
AT5G55660.1 AT5G55660.1 | Symbols: | DEK domain-containing chromatin associated protein | chr5:22539375-22543142 FORWARD LENGTH=778
ATCG00770.1 ATCG00770.1 | Symbols: RPS8 | ribosomal protein S8 | chrC:80068-80472 REVERSE LENGTH=134
AT3G09630.1 AT3G09630.1 | Symbols: | Ribosomal protein L4/L1 family | chr3:2953813-2955444 FORWARD LENGTH=406
AT2G33210.1 AT2G33210.1 | Symbols: HSP60-2 | heat shock protein 60-2 | chr2:14075093-14078568 REVERSE LENGTH=585
AT5G23540.1 AT5G23540.1 | Symbols: | Mov34/MPN/PAD-1 family protein | chr5:7937772-7939339 FORWARD LENGTH=308
AT1G18540.1 AT1G18540.1 | Symbols: | Ribosomal protein L6 family protein | chr1:6377448-6378548 REVERSE LENGTH=233
AT4G18740.1 AT4G18740.1 | Symbols: | Rho termination factor | chr4:10303543-10304479 REVERSE LENGTH=245
AT1G13930.1 AT1G13930.1 | Symbols: | Involved in response to salt stress. Knockout mutants are hypersensitive to salt stress. | chr1:4761091-4761558 FORWARD LENGTH=155
AT3G13460.1 AT3G13460.1 | Symbols: ECT2 | evolutionarily conserved C-terminal region 2 | chr3:4385274-4388220 REVERSE LENGTH=667
AT1G28400.1 AT1G28400.1 | Symbols: | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G33850.1); Has
AT1G54410.1 AT1G54410.1 | Symbols: | dehydrin family protein | chr1:20310305-20310601 REVERSE LENGTH=98
AT5G17820.1 AT5G17820.1 | Symbols: | Peroxidase superfamily protein | chr5:5888195-5890101 REVERSE LENGTH=313
AT3G02220.1 AT3G02220.1 | Symbols: | unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2039 (InterPro:IPR019351); Has 215 Blast hits to 215 proteins in 94 species: Archae - 2; Bacteria - 2; Metazoa - 125; Fungi - 4; Plants - 38; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink). | chr3:41221
AT1G30380.1 AT1G30380.1 | Symbols: PSAK | photosystem I subunit K | chr1:10722325-10723013 FORWARD LENGTH=130
ATCG01120.1 ATCG01120.1 | Symbols: RPS15 | chloroplast ribosomal protein S15 | chrC:123296-123562 REVERSE LENGTH=88
AT1G66260.1 AT1G66260.1 | Symbols: | RNA-binding (RRM/RBD/RNP motifs) family protein | chr1:24695895-24697883 REVERSE LENGTH=295
AT3G09210.1 AT3G09210.1 | Symbols: PTAC13 | plastid transcriptionally active 13 | chr3:2825422-2826850 REVERSE LENGTH=333
AT1G09070.1 AT1G09070.1 | Symbols: SRC2, (AT)SRC2 | soybean gene regulated by cold-2 | chr1:2927767-2928741 FORWARD LENGTH=324
AT5G62350.1 AT5G62350.1 | Symbols: | Plant invertase/pectin methylesterase inhibitor superfamily protein | chr5:25037504-25038112 FORWARD LENGTH=202
AT4G26630.1 AT4G26630.1 | Symbols: | DEK domain-containing chromatin associated protein | chr4:13430873-13434877 REVERSE LENGTH=763
AT3G54890.1 AT3G54890.1 | Symbols: LHCA1 | photosystem I light harvesting complex gene 1 | chr3:20339706-20340922 REVERSE LENGTH=241
AT1G20220.1 AT1G20220.1 | Symbols: | Alba DNA/RNA-binding protein | chr1:7005090-7007285 REVERSE LENGTH=315
AT1G49975.1 AT1G49975.1 | Symbols: | INVOLVED IN: photosynthesis; LOCATED IN: photosystem I, chloroplast, thylakoid membrane; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Photosystem I reaction centre subunit N (InterPro:IPR008796); Has 34 Blast hits to 34 proteins in 1
AT2G38540.1 AT2G38540.1 | Symbols: LP1, LTP1, ATLTP1 | lipid transfer protein 1 | chr2:16130418-16130893 FORWARD LENGTH=118
AT2G16360.1 AT2G16360.1 | Symbols: | Ribosomal protein S25 family protein | chr2:7076713-7077366 REVERSE LENGTH=125
AT2G36160.1 AT2G36160.1 | Symbols: | Ribosomal protein S11 family protein | chr2:15169925-15171159 FORWARD LENGTH=150
ATCG00020.1 ATCG00020.1 | Symbols: PSBA | photosystem II reaction center protein A | chrC:383-1444 REVERSE LENGTH=353
AT2G20580.1 AT2G20580.1 | Symbols: RPN1A, ATRPN1A | 26S proteasome regulatory subunit S2 1A | chr2:8859211-8864699 FORWARD LENGTH=891
AT2G34860.1 AT2G34860.1 | Symbols: EDA3 | DnaJ/Hsp40 cysteine-rich domain superfamily protein | chr2:14708380-14709804 FORWARD LENGTH=186
AT2G01250.1 AT2G01250.1 | Symbols: | Ribosomal protein L30/L7 family protein | chr2:132943-134264 REVERSE LENGTH=242
AT4G16830.1 AT4G16830.1 | Symbols: | Hyaluronan / mRNA binding family | chr4:9470621-9472308 FORWARD LENGTH=355
ATCG00820.1 ATCG00820.1 | Symbols: RPS19 | ribosomal protein S19 | chrC:84005-84283 REVERSE LENGTH=92
AT5G62190.1 AT5G62190.1 | Symbols: PRH75 | DEAD box RNA helicase (PRH75) | chr5:24980542-24983879 REVERSE LENGTH=671
AT1G08520.1 AT1G08520.1 | Symbols: ALB1, ALB-1V, V157, PDE166, CHLD | ALBINA 1 | chr1:2696538-2700819 FORWARD LENGTH=760
AT5G25980.1 AT5G25980.1 | Symbols: TGG2, BGLU37 | glucoside glucohydrolase 2 | chr5:9072730-9075143 FORWARD LENGTH=467
AT1G03130.1 AT1G03130.1 | Symbols: PSAD-2 | photosystem I subunit D-2 | chr1:753528-754142 REVERSE LENGTH=204
AT1G04480.1 AT1G04480.1 | Symbols: | Ribosomal protein L14p/L23e family protein | chr1:1216110-1217257 FORWARD LENGTH=140
AT5G27770.1 AT5G27770.1 | Symbols: | Ribosomal L22e protein family | chr5:9836166-9837113 FORWARD LENGTH=124
AT3G01500.1 AT3G01500.1 | Symbols: CA1, ATBCA1, SABP3, ATSABP3 | carbonic anhydrase 1 | chr3:194853-196716 REVERSE LENGTH=270
AT1G51400.1 AT1G51400.1 | Symbols: | Photosystem II 5 kD protein | chr1:19052172-19052492 REVERSE LENGTH=106
AT3G08580.1 AT3G08580.1 | Symbols: AAC1 | ADP/ATP carrier 1 | chr3:2605706-2607030 REVERSE LENGTH=381
AT3G04520.1 AT3G04520.1 | Symbols: THA2 | threonine aldolase 2 | chr3:1217397-1219571 REVERSE LENGTH=355
AT2G01210.1 AT2G01210.1 | Symbols: | Leucine-rich repeat protein kinase family protein | chr2:119509-121734 REVERSE LENGTH=716
AT1G04270.1 AT1G04270.1 | Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=152
AT4G08580.1 AT4G08580.1 | Symbols: | microfibrillar-associated protein-related | chr4:5462190-5463718 FORWARD LENGTH=435
AT1G20020.1 AT1G20020.1 | Symbols: ATLFNR2, FNR2 | ferredoxin-NADP(+)-oxidoreductase 2 | chr1:6942851-6944868 FORWARD LENGTH=369
AT1G29910.1 AT1G29910.1 | Symbols: CAB3, AB180, LHCB1.2 | chlorophyll A/B binding protein 3 | chr1:10472443-10473246 REVERSE LENGTH=267
AT1G07790.1 AT1G07790.1 | Symbols: HTB1 | Histone superfamily protein | chr1:2413049-2413495 FORWARD LENGTH=148
AT5G23080.1 AT5G23080.1 | Symbols: TGH | SWAP (Suppressor-of-White-APricot)/surp domain-containing protein | chr5:7743226-7748889 REVERSE LENGTH=930
AT1G28060.1 AT1G28060.1 | Symbols: | Pre-mRNA-splicing factor 3 | chr1:9779167-9782486 FORWARD LENGTH=786
AT3G05590.1 AT3G05590.1 | Symbols: RPL18 | ribosomal protein L18 | chr3:1621511-1622775 FORWARD LENGTH=187
AT1G35680.1 AT1G35680.1 | Symbols: | Ribosomal protein L21 | chr1:13208777-13210246 FORWARD LENGTH=220
ATCG00160.1 ATCG00160.1 | Symbols: RPS2 | ribosomal protein S2 | chrC:15013-15723 REVERSE LENGTH=236
AT1G79040.1 AT1G79040.1 | Symbols: PSBR | photosystem II subunit R | chr1:29736085-29736781 FORWARD LENGTH=140
AT5G20290.1 AT5G20290.1 | Symbols: | Ribosomal protein S8e family protein | chr5:6851695-6853012 REVERSE LENGTH=222
AT1G62020.1 AT1G62020.1 | Symbols: | Coatomer, alpha subunit | chr1:22919814-22923728 FORWARD LENGTH=1216
AT1G61520.1 AT1G61520.1 | Symbols: LHCA3 | photosystem I light harvesting complex gene 3 | chr1:22700152-22701149 FORWARD LENGTH=273
AT1G12900.1 AT1G12900.1 | Symbols: GAPA-2 | glyceraldehyde 3-phosphate dehydrogenase A subunit 2 | chr1:4392634-4394283 REVERSE LENGTH=399
AT5G64430.1 AT5G64430.1 | Symbols: | Octicosapeptide/Phox/Bem1p family protein | chr5:25762540-25764081 REVERSE LENGTH=513
AT4G38630.1 AT4G38630.1 | Symbols: RPN10, MCB1, ATMCB1, MBP1 | regulatory particle non-ATPase 10 | chr4:18057357-18059459 REVERSE LENGTH=386
AT5G09510.1 AT5G09510.1 | Symbols: | Ribosomal protein S19 family protein | chr5:2955698-2956554 REVERSE LENGTH=152
AT5G39570.1 AT5G39570.1 | Symbols: | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol, nucleus; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: glycine-rich protein (TAIR:AT3G29075.1); Has 30201 Blast hi
AT5G09440.1 AT5G09440.1 | Symbols: EXL4 | EXORDIUM like 4 | chr5:2938397-2939233 FORWARD LENGTH=278
AT2G18960.1 AT2G18960.1 | Symbols: AHA1, PMA, OST2, HA1 | H(+)-ATPase 1 | chr2:8221858-8227268 FORWARD LENGTH=949
AT5G17440.1 AT5G17440.1 | Symbols: | LUC7 related protein | chr5:5749849-5753415 FORWARD LENGTH=404
AT3G55460.1 AT3G55460.1 | Symbols: SCL30, At-SCL30 | SC35-like splicing factor 30 | chr3:20561024-20563502 FORWARD LENGTH=262
AT1G16810.1 AT1G16810.1 | Symbols: | unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1754, eukaryotic (InterPro:IPR013865); Has 395 Blast hits to 394 proteins in 162 species: Archae - 0; Bacteria - 0; Metazoa - 181; Fungi - 91; Plants - 65; Viruses - 0; Other Eukaryotes - 58 (source: NCBI BLink)
